tweet_id,user,text,num_comments,num_retweets,num_views,timestamp
1645141826117189632,@clif_high,seems no one wants to eat ze bugs...,9,102,"6,982",2023-04-09T19:09:11.000Z
1645110223043198976,@MadnessFc4,Mum called me down for dinner but the food wasnt ready,27,981,536.5K,2023-04-09T17:03:36.000Z
analytics,user,text,0,0,0,0
1645167947613077504,@RenzTom,So @elonmusk & @Twitter - why can’t I post this tweet? Why is information about #mRNA in the food supply being censored? This is happening on tons of my tweets. I’m also posting numerous viral #tweets with hundreds of thousands of views in a short period of time but nothing I do…,9,89,"2,617",2023-04-09T20:52:59.000Z
1645076230318985216,@raphousetv2,Kevin Gates Says He Has Went Without Food For 42 Days & Has Done It 3 Times,449,"1,156",1.9M,2023-04-09T14:48:32.000Z
1645086935306895360,@ChanGottaGo,Blue avia and Yemi shippers your food is ready,116,490,308.1K,2023-04-09T15:31:04.000Z
1645100683652132865,@RobustFeed,6 Testosterone Boosting Foods,3,42,55.8K,2023-04-09T16:25:42.000Z
1645082530305961984,@meauhlback,favorite food forever,2,153,29.8K,2023-04-09T15:13:34.000Z
1645058936070864897,@coviurs,Steak,2,122,41.1K,2023-04-09T13:39:48.000Z
1645074665151295488,@RoyIsThaTruth,"I feel like women should apply the same pressure they expect men to !!! Pay for his hair cut , buy him some food , ask him about his day , surprise him with a date ……. it’s not supposed to be one sided…",19,107,38.4K,2023-04-09T14:42:18.000Z
1645064408958214144,@The_Life_Pad,Testosterone Boosting foods every Man must Eat...,7,142,187.7K,2023-04-09T14:01:33.000Z
1645040613346222084,@OrganicLiveFood,Nature's Pharmacy,4,114,"8,363",2023-04-09T12:27:00.000Z
1645054646933770241,@homevsfastfood,Steak and eggs with potato browns [homemade] http://homecookingvsfastfood.com #homecooking #food #recipes #foodie #foodlover #cooking #homecookingvsfastfood,3,80,11.1K,2023-04-09T13:22:46.000Z
1645105136677580801,@ShannenJPEG,You know something is seriously wrong with the food system when you have to pay extra for poison-free food,99,84,53.3K,2023-04-09T16:43:23.000Z
1645106723139510274,@PoppyDaMouse69,"gmorniiiing today is the bunny egg food day, yay look at this cool candy this guy gave me!!",13,12,"3,465",2023-04-09T16:49:42.000Z
1645048413392871426,@cal3ko,food poll: easter sweets edition!! • • • > likes and rts appreciated; enjoy!!,1,33,"5,358",2023-04-09T12:57:59.000Z
1645160155661705218,@alylolx,Closing off the evening and celebrating the successful day with some food together (Of course discussing strategies for tomorrows finals..maybe) See you guys tomorrow! #VforVictory,6,6,"3,258",2023-04-09T20:22:01.000Z
1645068137392402432,@Naija_PR,What kind of food is this one again??,147,91,106.9K,2023-04-09T14:16:22.000Z
1645064543088054273,@BowTiedPundit,A collection of Foods that facilitate Stronger Erections Bookmark This /Thread/,12,108,121.1K,2023-04-09T14:02:05.000Z
1645083866439499777,@zaidkdahhaj,Raw Honey: The nectar of the Bee God’s which never spoils and helps improve diabetes (How to test for FAKE honey to make the most of this 80/20 food) THREAD,16,116,121.4K,2023-04-09T15:18:52.000Z
1645169266625503232,@vikovery,i made a tiktok account that i ( hopefully ) plan on using to post vids of fear foods and stuff that i plan on eating i’ll have it linked on posts in my fear foods thread but i’m posting this here first until i can actually start recording vids LOL,0,0,15,2023-04-09T20:58:13.000Z
1645164136471449612,@Doodlegenics,Visit Us Live @Doodlegenics Event Slate Manhattan April 13th 7pm -12am Going To Be An Epic Night ETH #Giveaway Live Preformance FREE Food & Drinks Retweet & Tag A Fren #NFTNYC,6,8,400,2023-04-09T20:37:50.000Z
1645161201112842242,@ningcals,girl with ed whole foods,2,0,70,2023-04-09T20:26:10.000Z
1645102642945744898,@gertrude_andrew,"Bubal Native food of the indigenous people of Bokkos LGA Plateau state, Middle belt, available at the Jos Food Festival",13,17,"2,813",2023-04-09T16:33:29.000Z
1645046025806049282,@Wanji001,"How would you rate my food, in a scale of 1-10 ?",87,34,"7,439",2023-04-09T12:48:30.000Z
1645084657866924032,@_artdumpling,i'm not super into salty foods but i'd make an exception for —,1,7,"1,516",2023-04-09T15:22:01.000Z
